,endogenous_0.25,endogenous_0.5,endogenous_0.75,exogenous_0.25,exogenous_0.5,exogenous_0.75
p100,0.3690551114071049,0.4404936746340552,0.5082497532564051,0.7186567179465907,1.2298483853187696,1.6076945621425864
p101,0.30071334627721125,0.4142268598620874,0.48068834251330006,0.6517485838897669,1.0620501755380336,1.3862976977521428
p82,0.3624992257577925,0.4195380255687743,0.47848286339324486,0.6875617049875942,1.1452357895749554,1.5546290025805207
p83,0.3365495002291219,0.41817366062776196,0.4493299587394439,0.7116795472864739,1.1644807517162499,1.5214979607750472
p84,0.3630470398801724,0.49524286946824747,0.537926525910428,0.8050510606700226,1.209027149617013,1.6820736233178024
p85,0.35427068113561333,0.41288983419306896,0.48605138945812465,0.7151140615394352,1.139985345210465,1.5622229552349667
p86,0.4284076045161825,0.4997748995216057,0.5386721095413303,0.8459259945177063,1.2886875630606496,1.808928848791573
p87,0.3951543007361796,0.4635114488795027,0.46887848990552644,0.787041675088426,1.1779103854790627,1.6147057948517514
p88,0.35417071880820156,0.44086931234287674,0.4714378711142521,0.6417059219290278,1.0528266420849275,1.4108508489313278
p89,0.3082033524925174,0.40695117584679513,0.45044800299965043,0.7901271614845198,1.3178643104478691,1.772860949826041
p90,0.3242675981021242,0.3581089586172278,0.3957718692888721,0.7100000490957553,1.1392322400109236,1.5413866326860897
p91,0.3496492597304852,0.40737269291491107,0.46491931252528246,0.6765949758011308,1.1003874521272157,1.4910612386339785
p92,0.3578470283104747,0.4480778798728732,0.5028862941741056,0.7021276231419119,1.1660528216405794,1.5868221928564448
p93,0.412946145090702,0.48731775274086975,0.5622991182998073,0.8671681066469229,1.3073426411911113,1.7166785486957505
p94,0.3314532641320677,0.3686566019884802,0.41381535236974115,0.6895433985121459,1.134019723422115,1.4320855747837313
p95,0.26932367107808275,0.28275821566327963,0.30572744109540695,0.7046194326104377,1.1033716718716355,1.5033417896631367
p96,0.37847513589089665,0.4425928326585223,0.47722690627396613,0.7777231083819124,1.2155985213941494,1.6849545962165238
p97,0.3235488912805268,0.3917570187973524,0.4393178881605387,0.6707568997999502,1.1427924778005167,1.5069924985767038
p98,0.36150350968468825,0.41452769056774547,0.47342785877687477,0.670782623708145,1.0910216394179606,1.5032218517391853
p99,0.3842257079110185,0.44847139136099323,0.4759608649552775,0.8019698504107798,1.369290634824791,1.8422925278585538
